Unit,Price           (1 - 500),Tab,Country,Is Command,Is Prototype,Amphibious,Speed              (23 km - 1100km),Autonomy          (60 km+),Strength         (2 - 300),Optics Ground         (40 - 220),Optics Air         (10 - 900),Optics Anti-Radar         (300 - 500),Stealth                           (0.7 - 3),Size Modifier                  (-0.2 - 0.1),Front Armor       (0 - 23),Side Armor      (0 - 12),Rear Armor       (0 - 6),Top Armor      (0 - 4),Weapon1 Type,Weapon1 HE                  (0 - 30),Weapon1 AP               (0 - 200),Weapon1 Fire Starting Probability                  (0 - 100%),Weapon1 Ammo,Weapon1 Aim Time,Weapon1 Time Between Shots,Weapon1 Shots Per Salvo,Weapon1 Reload Time,Weapon1 Dmg Radius,Weapon1 Surpress Radius,Weapon1 Accuracy,Weapon1 Accuracy While Moving,Weapon1 Range Ground,Weapon1 Range Ground Minimum,Weapon1 Range Helicopters,Weapon1 Range Helicopters Minimum,Weapon1 Range Planes,Weapon1 Range Planes Minimum,Weapon1 Range Ships,Weapon1 Range Ships Minimum,Weapon1 Supply Cost Per Salvo,Weapon2 Type,Weapon2 HE,Weapon2 AP,Weapon2 Fire Starting Probability                  (0 - 100%),Weapon2 Ammo,Weapon2 Aim Time,Weapon2 Time Between Shots,Weapon2 Shots Per Salvo,Weapon2 Reload Time,Weapon2 Damage Radius,Weapon2 Surpress Radius,Weapon2 Accuracy,Weapon2 Accuracy While Moving,Weapon2 Range Ground,Weapon2 Range Ground Minimum,Weapon2 Range Helicopters,Weapon2 Range Helicopters Minimum,Weapon2 Range Planes,Weapon2 Range Planes Minimum,Weapon2 Range Ships,Weapon2 Range Ships Minimum,Weapon2 Supply Cost Per Salvo,Weapon3 Type,Weapon3 HE,Weapon3 AP,Weapon3 Fire Starting Probability                  (0 - 100%),Weapon3 Ammo,Weapon3 Aim Time,Weapon3 Time Between Shots,Weapon3 Shots Per Salvo,Weapon3 Reload Time,Weapon3 Damage Radius,Weapon3 Surpress Radius,Weapon3 Accuracy,Weapon3 Accuracy While Moving,Weapon3 Range Ground,Weapon3 Range Ground Minimum,Weapon3 Range Helicopters,Weapon3 Range Helicopters Minimum,Weapon3 Range Planes,Weapon3 Range Planes Minimum,Weapon3 Range Ships,Weapon3 Range Ships Minimum,Weapon3 Supply Cost Per Salvo,Year,Decks
DANA,90,SUP,Czechoslavakia,FALSE,FALSE,FALSE,80 km/h,750 km,10,40,10,,1,0.05,2,1,1,1,Howitzer,7,,30%,50,30 s,10 s,10,30 s,106 m,213 m,,,18900 m,1890 m,,,,,18900 m,1890 m,483,Main Gun,1,7,,10,1 s,1 s,1,10 s,2 m,266 m,25%,5%,1925 m,,,,,,1925 m,,30,MMG,0.75,,,400,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1977,Motorized|Support
RZP KUB-M,45,SUP,Poland,FALSE,FALSE,FALSE,45 km/h,250 km,10,60,250,,1,0.05,1,1,1,1,SAM,9,,,3,0 s,1 s,3,25 s,221 m,441 m,40%,,,,2450 m,490 m,3850 m,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,Mechanized|Armored|Support
2K22 TUNGUSKA-M,90,SUP,Soviet Union,FALSE,FALSE,FALSE,60 km/h,500 km,10,60,250,,1,,2,1,1,1,Twin Autocannon,1,,,2000,1 s,0 s,30,5 s,8 m,51 m,50%,35%,1050 m,,2800 m,,2625 m,,1050 m,,500,SAM,7,,,8,1 s,1 s,8,20 s,172 m,343 m,65%,,,,3325 m,,2625 m,,,,952,,,,,,,,,,,,,,,,,,,,,,,1986,Mechanized|Armored|Support
2K22 TUNGUSKA,75,SUP,Soviet Union,FALSE,FALSE,FALSE,60 km/h,500 km,10,60,250,,1,,2,1,1,1,Twin Autocannon,1,,,2000,1 s,0 s,30,5 s,8 m,51 m,50%,35%,1050 m,,2800 m,,2625 m,,1050 m,,500,SAM,7,,,8,1 s,1 s,8,20 s,172 m,343 m,50%,,,,2975 m,,2450 m,,,,868,,,,,,,,,,,,,,,,,,,,,,,1982,Mechanized|Armored|Support
2S15 NOROV,35,VHC,Soviet Union,FALSE,FALSE,TRUE,60 km/h,600 km,10,80,40,,1,,2,1,1,1,Main Gun,3,13,,22,1 s,5 s,22,5 s,2 m,175 m,50%,25%,2100 m,,,,,,2100 m,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Armored
2S19 MSTA-S,130,SUP,Soviet Union,FALSE,FALSE,FALSE,60 km/h,500 km,10,40,10,,1,0.05,5,3,2,2,Howitzer,7,,30%,35,10 s,6 s,5,30 s,106 m,213 m,,,29050 m,2905 m,,,,,29050 m,2905 m,333,Main Gun,1,16,,11,1 s,1 s,1,8 s,2 m,266 m,15%,5%,1925 m,,,,,,1925 m,,30,MMG,0,,,400,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,1989,Armored|Support
2S1 GOŹDZIK,55,SUP,Poland,FALSE,FALSE,TRUE,60 km/h,500 km,10,40,10,,1,,1,1,1,1,Howitzer,6,,30%,36,25 s,10 s,12,30 s,85 m,171 m,,,15050 m,1505 m,,,,,15050 m,1505 m,350,Main Gun,1,9,,5,1 s,1 s,1,12 s,2 m,214 m,15%,,1925 m,,,,,,1925 m,,20,,,,,,,,,,,,,,,,,,,,,,,1974,Mechanized|Marine|Armored|Support
2S1 GVOZDIKA,55,SUP,Soviet Union,FALSE,FALSE,TRUE,60 km/h,500 km,10,40,10,,1,,1,1,1,1,Howitzer,6,,30%,36,25 s,10 s,12,30 s,85 m,171 m,,,15050 m,1505 m,,,,,15050 m,1505 m,350,Main Gun,1,9,,5,1 s,1 s,1,12 s,2 m,214 m,15%,,1925 m,,,,,,1925 m,,20,,,,,,,,,,,,,,,,,,,,,,,1971,Mechanized|Marine|Armored|Support
2S23 NONA-SVK,60,SUP,Soviet Union,FALSE,FALSE,TRUE,80 km/h,500 km,10,40,10,,1,,2,1,1,1,Mortar,5,,30%,39,8 s,4 s,3,12 s,42 m,126 m,,,7700 m,770 m,,,,,7700 m,770 m,120,Main Gun,1,14,,5,1 s,1 s,1,8 s,2 m,210 m,25%,,1925 m,,,,,,1925 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,15%,5%,875 m,,525 m,,,,875 m,,20,1990,Motorized|Marine|Airborne|Support
2S3M AKATSIYA,75,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,40,10,,1,0.05,2,1,1,1,Howitzer,7,,30%,40,30 s,10 s,10,30 s,106 m,213 m,,,19250 m,1925 m,,,,,19250 m,1925 m,338,Main Gun,1,12,,10,1 s,1 s,1,10 s,2 m,266 m,15%,,1925 m,,,,,,1925 m,,30,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,15%,5%,875 m,,525 m,,,,875 m,,20,1975,Mechanized|Armored|Support
